UNIVERSITIES,SCHOOL TYPE,ENTRANCE EXAM,DEGREE PROGRAMS,LOCATION,WEBSITE LINK
Unibersidad de Manila,Public,Required,"BS BUSINESS ADMINISTRATION, BS PUBLIC ADMINISTRATION, BS ACCOUNTANCY, BS ACCOUNTING TECHNOLOGY, BS HOTEL AND RESTAURANT MANAGEMENT, BS TOURISM MANAGEMENT, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS CRIMINOLOGY, BS EDUCATION, BA COMMUNICATION, BA POLITICAL SCIENCE, BA PSYCHOLOGY, BA SOCIOLOGY, BA ENGLISH, BA FILIPINO, BA HISTORY, BA ECONOMICS, BA PUBLIC ADMINISTRATION, BA POLITICAL SCIENCE, BA SOCIAL WORK, BA PHILOSOPHY",City of Manila,https://udmwebsite.udm.edu.ph/
Philippine Normal University,Public,Required,"BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION, BACHELOR OF LIBRARY AND INFORMATION SCIENCE, BACHELOR OF EARLY CHILDHOOD EDUCATION, BACHELOR OF SCIENCE IN EDUCATION, BA HISTORY, BA POLITICAL SCIENCE, BA ENGLISH, BA SOCIAL SCIENCES, BS MATHEMATICS, BS BIOLOGY, BS PHYSICS, BS CHEMISTRY, BS ENVIRONMENTAL SCIENCE, BS INFORMATION TECHNOLOGY",City of Manila,https://www.pnu.edu.ph/
Pamantasan ng Lungsod ng Marikina,Public,Required,"BS ELEMENTARY EDUCATION, BS SECONDARY EDUCATION, BS LIBRARY SCIENCE, BS EARLY CHILDHOOD EDUCATION, BS EDUCATION, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS CRIMINOLOGY, BA POLITICAL SCIENCE, BA COMMUNICATION, BA PSYCHOLOGY, BA SOCIOLOGY, BA ENGLISH, BA PUBLIC ADMINISTRATION, BS NURSING",City of Marikina,https://plmar.edu.ph/
Pamantasan ng Lungsod ng Muntinlupa,Public,Required,"BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS CRIMINOLOGY, BA POLITICAL SCIENCE, BA COMMUNICATION, BA PSYCHOLOGY, BA SOCIOLOGY, BA ENGLISH, BA PUBLIC ADMINISTRATION, BS ACCOUNTANCY, BS ACCOUNTING TECHNOLOGY, BS CIVIL ENGINEERING, BS ELECTRONICS ENGINEERING, BS INDUSTRIAL ENGINEERING, BS ELECTRICAL ENGINEERING, BS MECHANICAL ENGINEERING, BS ARCHITECTURE",City of Muntinlupa,https://plmun.edu.ph/
Pamantasan ng Lungsod ng Pasig,Public,Required,"BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS CRIMINOLOGY, BA POLITICAL SCIENCE, BA COMMUNICATION, BA PSYCHOLOGY, BA SOCIOLOGY, BA ENGLISH, BA PUBLIC ADMINISTRATION, BS ACCOUNTANCY, BS ACCOUNTING TECHNOLOGY, BS CIVIL ENGINEERING, BS ELECTRONICS ENGINEERING, BS INDUSTRIAL ENGINEERING, BS ELECTRICAL ENGINEERING, BS MECHANICAL ENGINEERING, BS ARCHITECTURE",City of Pasig,https://plpasig.edu.ph/
City of Malabon University,Public,Required,"BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION, BACHELOR OF LIBRARY AND INFORMATION SCIENCE, BACHELOR OF EARLY CHILDHOOD EDUCATION, BACHELOR OF SCIENCE IN EDUCATION, BS BUSINESS ADMINISTRATION, BS ACCOUNTANCY, BS ENTREPRENEURSHIP, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS CRIMINOLOGY, BA POLITICAL SCIENCE, BA COMMUNICATION, BA PSYCHOLOGY, BA SOCIOLOGY, BA ENGLISH, BA PUBLIC ADMINISTRATION",City of Malabon,https://cityofmalabonuniversity.edu.ph/
Polytechnic University of the Philippines - Taguig City,Public,Required,"BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS CRIMINOLOGY, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS OFFICE ADMINISTRATION, BS ACCOUNTANCY, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT",City of Taguig,https://www.pup.edu.ph/taguig/
Quezon City University,Public,Required,"BS ELEMENTARY EDUCATION, BS SECONDARY EDUCATION, BS EARLY CHILDHOOD EDUCATION, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS CRIMINOLOGY, BA POLITICAL SCIENCE, BA COMMUNICATION, BA PSYCHOLOGY, BA SOCIOLOGY, BA ENGLISH, BA PUBLIC ADMINISTRATION",Quezon City,https://qcu.edu.ph/
Pamantasan ng Lungsod ng Pasay,Public,Required,"BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS CRIMINOLOGY, BA POLITICAL SCIENCE, BA COMMUNICATION, BA PSYCHOLOGY, BA SOCIOLOGY, BA ENGLISH, BA PUBLIC ADMINISTRATION",City of Pasay,https://sites.google.com/cup.edu.ph/city-university-of-pasay/home
Technological University of the Philippines - Taguig City,Public,Required,"BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS CRIMINOLOGY, BA POLITICAL SCIENCE, BA COMMUNICATION, BA PSYCHOLOGY, BA SOCIOLOGY, BA ENGLISH, BA PUBLIC ADMINISTRATION, BS ACCOUNTANCY, BS ACCOUNTING TECHNOLOGY, BS CIVIL ENGINEERING, BS ELECTRONICS ENGINEERING, BS INDUSTRIAL ENGINEERING, BS ELECTRICAL ENGINEERING, BS MECHANICAL ENGINEERING, BS ARCHITECTURE, BS CHEMICAL ENGINEERING",City of Taguig,https://tupt.edu.ph/portal/
Polytechnic University of the Philippines - Quezon City,Public,Required,"BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS OFFICE ADMINISTRATION, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS ACCOUNTANCY, BS ACCOUNTING TECHNOLOGY, BS CIVIL ENGINEERING, BS ELECTRONICS ENGINEERING, BS INDUSTRIAL ENGINEERING, BS ELECTRICAL ENGINEERING, BS MECHANICAL ENGINEERING, BS ARCHITECTURE",Quezon City,https://www.pup.edu.ph/quezoncity/
Marikina Polytechnic College,Public,Required,"BS ELEMENTARY EDUCATION, BS SECONDARY EDUCATION, BS BUSINESS ADMINISTRATION, BS OFFICE ADMINISTRATION, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS CIVIL ENGINEERING, BS ELECTRONICS ENGINEERING, BS ELECTRICAL ENGINEERING, BS MECHANICAL ENGINEERING, BS HOTEL AND RESTAURANT MANAGEMENT",City of Marikina,https://mpc.edu.ph/
Pamantasan ng Lungsod ng Valenzuela,Public,Required,"BS ELEMENTARY EDUCATION, BS SECONDARY EDUCATION, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS CRIMINOLOGY, BA POLITICAL SCIENCE, BA COMMUNICATION, BA PSYCHOLOGY, BA SOCIOLOGY, BA ENGLISH, BA PUBLIC ADMINISTRATION",City of Valenzuela,https://valenzuela.plv.edu.ph/PLVWeb/admission
Navotas Polytechnic College,Public,Required,"BS ELEMENTARY EDUCATION, BS SECONDARY EDUCATION, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS INFORMATION TECHNOLOGY, BS CRIMINOLOGY, BA POLITICAL SCIENCE, BA COMMUNICATION, BA PSYCHOLOGY, BA SOCIOLOGY, BA ENGLISH, BA PUBLIC ADMINISTRATION, BS CHEMICAL ENGINEERING",City of Navotas,https://navotaspolytechniccollege.edu.ph/
Polytechnic University of the Philippines - San Juan City,Public,Required,"BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS CRIMINOLOGY, BS ACCOUNTANCY, BS CIVIL ENGINEERING, BS ELECTRONICS ENGINEERING, BS ELECTRICAL ENGINEERING, BS INDUSTRIAL ENGINEERING, BS MECHANICAL ENGINEERING, BS ARCHITECTURE",City of San Juan,https://www.pup.edu.ph/sanjuan/
Philippine Merchant Marine School,Public,Required,"BS MARINE TRANSPORTATION, BS MARINE ENGINEERING",City of Las Piñas,https://pmma.edu.ph/
Polytechnic University of the Philippines - Parañaque City,Public,Required,"BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS CRIMINOLOGY, BS ACCOUNTANCY, BS CIVIL ENGINEERING, BS ELECTRONICS ENGINEERING, BS ELECTRICAL ENGINEERING, BS INDUSTRIAL ENGINEERING, BS MECHANICAL ENGINEERING, BS ARCHITECTURE",City of Parañaque,https://www.pup.edu.ph/paranaque/
Dr. Filemon C. Aguilar Memorial College of Las Piñas,Public,Required,"BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS COMPUTER SCIENCE, BS CRIMINOLOGY, BS INFORMATION TECHNOLOGY, BS HOTEL AND RESTAURANT MANAGEMENT, BS TOURISM MANAGEMENT, BACHELOR OF SECONDARY EDUCATION, BACHELOR OF ELEMENTARY EDUCATION",City of Las Piñas,https://www.facebook.com/dfcamclpOCR
Pateros Technological College,Public,Required,"BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS CRIMINOLOGY, BS BUSINESS ADMINISTRATION, BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION",City of Pateros,https://www.paterostechnologicalcollege.edu.ph/
Polytechnic University of the Philippines - Open University,Public,Required,"BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS CRIMINOLOGY",City of Manila,https://www.pup.edu.ph/ous/
Valenzuela City Polytechnic College,Public,Required,"BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS CRIMINOLOGY, BACHELOR OF SECONDARY EDUCATION, BACHELOR OF ELEMENTARY EDUCATION, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT",City of Valenzuela,No website
Rizal Technological University - Pasig Campus,Public,Not Required,"BS BUSINESS ADMINISTRATION, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS CRIMINOLOGY, BS CIVIL ENGINEERING, BS ELECTRICAL ENGINEERING, BS MECHANICAL ENGINEERING, BS INDUSTRIAL ENGINEERING, BS ARCHITECTURE",City of Pasig,https://www.rtu.edu.ph/
Philippine Public Safety College,Public,Not Required,"BS CRIMINOLOGY, BS PUBLIC SAFETY, BS FIRE PROTECTION ENGINEERING",City of Taguig,https://ppsc.gov.ph/
Parañaque City College of Science and Technology,Public,Not Required,"BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS CRIMINOLOGY, BS BUSINESS ADMINISTRATION, BS HOSPITALITY MANAGEMENT, BACHELOR OF SECONDARY EDUCATION, BACHELOR OF ELEMENTARY EDUCATION",City of Parañaque,https://www.facebook.com/tesdapcc/
Mapua University - Manila,Private,Required,"BS CIVIL ENGINEERING, BS ELECTRICAL ENGINEERING, BS MECHANICAL ENGINEERING, BS COMPUTER ENGINEERING, BS ELECTRONICS ENGINEERING, BS CHEMICAL ENGINEERING, BS INDUSTRIAL ENGINEERING, BS ARCHITECTURE",City of Manila,https://www.mapua.edu.ph/
Manila Central University,Private,Required,"BS NURSING, BS PHARMACY, BS MEDICAL TECHNOLOGY, BS BIOLOGY, BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS INFORMATION TECHNOLOGY, BS CRIMINOLOGY",City of Caloocan,https://mcu.edu.ph/
Mapua University - Makati,Private,Required,"BS CIVIL ENGINEERING, BS ELECTRICAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS MECHANICAL ENGINEERING, BS INDUSTRIAL ENGINEERING, BS COMPUTER ENGINEERING, BS CHEMICAL ENGINEERING, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS ARCHITECTURE",City of Makati,https://www.mapua.edu.ph/pages/about-mapua/the-university
Southville International School and Colleges,Private,Required,"BS PSYCHOLOGY, BS BUSINESS ADMINISTRATION, BS INFORMATION TECHNOLOGY, BS TOURISM MANAGEMENT, BA COMMUNICATION, BA MULTIMEDIA ARTS, BA MASS COMMUNICATION, BA INTERIOR DESIGN",City of Las Piñas,https://www.southville.edu.ph/
De La Salle University,Private,Required,"BS BUSINESS ADMINISTRATION, BS ACCOUNTANCY, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS ELECTRONICS ENGINEERING, BS MECHANICAL ENGINEERING, BS CHEMICAL ENGINEERING, BS PSYCHOLOGY, BS BIOLOGY, BA COMMUNICATION, BA POLITICAL SCIENCE, BA ENGLISH LITERATURE",City of Manila,https://www.dlsu.edu.ph/
Ateneo de Manila University,Private,Required,"BS MANAGEMENT ENGINEERING, BS ACCOUNTANCY, BS MANAGEMENT, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS APPLIED MATHEMATICS, BS PHYSICS, BS BIOLOGY, BS PSYCHOLOGY, BA COMMUNICATION, BA POLITICAL SCIENCE, BA ENGLISH LITERATURE, BA PHILOSOPHY, BA HISTORY, BA SOCIOLOGY, BA ECONOMICS, BA DEVELOPMENT STUDIES, BA CREATIVE WRITING, BA INFORMATION DESIGN, BA THEATER ARTS",Quezon City,https://www.ateneo.edu/
Centro Escolar University,Private,Required,"BS NURSING, BS PHARMACY, BS MEDICAL TECHNOLOGY, BS BIOLOGY, BS PSYCHOLOGY, BS BUSINESS ADMINISTRATION, BS INFORMATION TECHNOLOGY, BS TOURISM MANAGEMENT, BA COMMUNICATION, BA POLITICAL SCIENCE, BA ENGLISH LITERATURE",City of Manila,https://www.ceu.edu.ph/
Philippine Women's University,Private,Required,"BS NURSING, BS BUSINESS ADMINISTRATION, BS TOURISM MANAGEMENT, BS HOSPITALITY MANAGEMENT, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS PSYCHOLOGY, BS ACCOUNTANCY, BS ENTREPRENEURSHIP, BA COMMUNICATION ARTS, BA BROADCASTING, BA MULTIMEDIA ARTS, BA POLITICAL SCIENCE, BA INTERNATIONAL STUDIES, BA JOURNALISM, BA ENGLISH STUDIES, BA HISTORY, BA INTERIOR DESIGN, BA PSYCHOLOGY, BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION, BS  ENTREPRENEURIAL MANAGEMENT",City of Manila,https://www.pwu.edu.ph/
New Era University,Private,Required,"BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS CRIMINOLOGY, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS PSYCHOLOGY, BA COMMUNICATION, BA POLITICAL SCIENCE, BA ENGLISH, BA HISTORY, BA SOCIOLOGY, BA ECONOMICS, BA INTERNATIONAL STUDIES, BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION",Quezon City,https://www.neu.edu.ph/main/
Adamson University,Private,Required,"BS ARCHITECTURE, BS BIOLOGY, BS BUSINESS ADMINISTRATION, BS CHEMICAL ENGINEERING, BS CHEMISTRY, BS CIVIL ENGINEERING, BS COMPUTER ENGINEERING, BS COMPUTER SCIENCE, BS CONSTRUCTION MANAGEMENT, BS ELECTRICAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS FINANCE, BS HOSPITALITY MANAGEMENT, BS INDUSTRIAL ENGINEERING, BS INFORMATION SYSTEMS, BS INTERIOR DESIGN, BS MANAGEMENT, BS MARKETING MANAGEMENT, BS MATHEMATICS, BS MECHANICAL ENGINEERING, BS MEDICAL TECHNOLOGY, BS NURSING, BS PHARMACY, BS PHYSICS, BS PSYCHOLOGY, BS REAL ESTATE MANAGEMENT, BS SOCIAL WORK, BS TOURISM MANAGEMENT, BS CHEMICAL ENGINEERING",City of Manila,https://www.adamson.edu.ph/2018/
Philippine Christian University,Private,Required,"BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS FINANCIAL MANAGEMENT, BS MANAGEMENT ACCOUNTING, BS MARKETING MANAGEMENT, BS CUSTOMS ADMINISTRATION, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS INFORMATION SYSTEMS, BS PSYCHOLOGY, BS ELEMENTARY EDUCATION, BS SECONDARY EDUCATION",City of Manila,https://pcu.edu.ph/
