DEGREE PROGRAM,ABBREVIATION,DESCRIPTION,PROGRAM OUTCOMES
BA BUSINESS ADMINISTRATION,BABA,"BA Business Administration provides a broad understanding of business principles and practices. The program includes studies in management, marketing, finance, accounting, and entrepreneurship, equipping students with the skills needed to succeed in the business world.","Graduates can pursue careers as business managers, marketing executives, financial analysts, entrepreneurs, and human resource managers. Opportunities exist in corporate sectors, startups, government agencies, and non-profit organizations."
BA CHILD DEVELOPMENT AND EDUCATION,BACDEd,"BA Child Development and Education focuses on the physical, emotional, and cognitive development of children. The program includes courses in educational psychology, early childhood education, curriculum development, and classroom management.","Graduates can work as early childhood educators, child development specialists, educational consultants, and program coordinators. Careers are available in schools, daycare centers, non-profit organizations, and government agencies."
BA CHRISTIAN MINISTRIES,BACMin,"Bachelor of Christian Ministries prepares students for leadership roles in Christian ministry. The program includes courses in biblical studies, theology, pastoral care, evangelism, and church administration.","Graduates can work as pastors, youth ministers, church administrators, missionaries, and Christian counselors. They can find employment in churches, religious organizations, mission agencies, and non-profit organizations."
BA COMMUNICATION,BAComm,"BA Communication emphasizes the development of effective communication skills in various contexts, including interpersonal, group, organizational, and intercultural communication. The program prepares students for roles that require strong communication abilities.","Career opportunities include communication consultants, public relations specialists, corporate communicators, media planners, and content developers. Graduates can work in businesses, media organizations, government agencies, and non-profits."
BA COMMUNICATION ARTS,BACoAt,"BA Communication Arts combines the study of communication theory with practical applications in media, theater, and visual arts. The program covers media studies, performance arts, and visual communication, fostering creativity and critical thinking.","Graduates can become media producers, theater directors, art directors, screenwriters, and creative consultants. Careers are available in entertainment industries, advertising agencies, media companies, and cultural institutions."
BA COMMUNICATION RESEARCH,BACoRe,"A Communication Research focuses on the methodologies and techniques used to study and analyze communication processes and media effects. The program includes courses in quantitative and qualitative research methods, media analytics, and audience studies.","Graduates can pursue careers as market researchers, media analysts, communication consultants, and academic researchers. Opportunities are available in media companies, research firms, advertising agencies, and academic institutions."
BA COMMUNITY DEVELOPMENT AND PSYCHOLOGY,BACDPs,"BA Community Development and Psychology integrates the principles of psychology with community development strategies. The program covers topics such as community organizing, mental health, social psychology, and program evaluation.","Graduates can work as community development coordinators, social workers, mental health advocates, and program managers. Careers are available in non-profit organizations, government agencies, community centers, and healthcare facilities."
BA COMPARATIVE LITERATURE,BACW,"The BA in Comparative Writing (BACW) program delves into writing across cultures and genres, emphasizing literary analysis and creative expression. Students hone critical thinking and communication skills through the study of global literary traditions.","Graduates can pursue roles as editors, writers, journalists, or educators. They may also work in publishing, public relations, or academia. The program lays a foundation for further studies in literature or related fields."
BA COMPUTER TEACHING,BACT,"BA Computer Teaching prepares students to teach computer science and technology subjects. The program includes courses in educational technology, instructional design, programming, and curriculum development.","Graduates can become computer science teachers, instructional coordinators, educational technologists, and e-learning specialists. They can work in schools, colleges, educational technology companies, and training centers."
BA COOPERATIVE,BACoop,"BA Cooperative studies the principles and practices of cooperative enterprises. The program covers cooperative management, cooperative law, financial management, and community development, preparing students to lead and manage cooperative organizations.","Graduates can work as cooperative managers, development officers, financial advisors, and community organizers. Careers are available in cooperative societies, non-governmental organizations (NGOs), government agencies, and financial institutions."
BA CREATIVE WRITING,BACW,"BA in Creative Writing (BACW) program focuses on nurturing students' writing skills across various genres, including fiction, poetry, and non-fiction. Through workshops, seminars, and critical analysis of literature, students develop their creative voice and refine their writing abilities.","Graduates can pursue careers as authors, poets, screenwriters, content creators, or editors. They may also find opportunities in journalism, advertising, publishing, or education."
BA DEVELOPMENT COMMUNICATION,BADevC,"BA Development Communication focuses on the role of communication in social change and development. The program includes courses in media for development, strategic communication, public information campaigns, and participatory communication.","Graduates can become communication specialists, development communicators, public relations officers, and media campaign managers. They can work in international development organizations, NGOs, government agencies, and media outlets."
BA DEVELOPMENT STUDIES,BADevS,"BA Development Studies examines the socio-economic, political, and cultural aspects of development. The program covers topics such as poverty alleviation, sustainable development, global governance, and human rights.","Career opportunities include development analysts, policy advisors, project managers, and international aid workers. Graduates can work in international organizations, government agencies, NGOs, and research institutions."
BA ECONOMICS,BAEco,"BA Economics provides a thorough understanding of economic theories, policies, and practices. The program includes courses in microeconomics, macroeconomics, econometrics, and economic development, preparing students for analytical and policy-oriented roles.","Graduates can pursue careers as economists, financial analysts, policy advisors, market researchers, and economic consultants. Opportunities exist in government agencies, financial institutions, international organizations, and private companies."
BA ENGLISH,BAEng,"BA English focuses on the study of English literature, language, and writing. The program covers various literary genres, critical theories, and advanced writing techniques, enhancing students' analytical and communication skills.","Graduates can become writers, editors, educators, literary critics, and communication specialists. Careers are available in publishing, media, education, and public relations."
BA ENGLISH STUDIES,BAES,"BA English Studies (BAES) program provides a comprehensive study of English language, literature, and culture. Students analyze literary texts, explore linguistic theories, and examine the historical and cultural contexts of the English-speaking world.","Graduates can pursue careers in writing, editing, publishing, teaching, or research. They may also find opportunities in media, public relations, marketing, or cultural institutions."
BA EUROPEAN LANGUAGES,BAEURL,"BA European Languages (BAEURL) program offers the opportunity to study multiple European languages, such as French, German, Spanish, Italian, or others. Students develop proficiency in their chosen languages and gain insight into the cultures and societies where these languages are spoken.","Graduates can pursue careers in translation, interpretation, language teaching, international business, diplomacy, or tourism. They may also find opportunities in multinational corporations, government agencies, or non-profit organizations requiring language proficiency and intercultural communication skills."
BA FILIPINO,BAFIL,"BA in Filipino (BAFIL) program provides a comprehensive study of the Filipino language, literature, and culture. Students explore various aspects of Filipino language usage, including grammar, syntax, semantics, and pragmatics. They also delve into Philippine literature, both classical and contemporary, analyzing literary texts within their historical, cultural, and social contexts.","Graduates can pursue careers as Filipino language teachers, writers, editors, translators, or researchers. They may find opportunities in education, media, publishing, government, or cultural institutions where proficiency in Filipino language and cultural knowledge is essential."
BA FILM ,BAFAC,"BA Film & Audio-Visual Communication emphasizes the creation and analysis of film and multimedia content. The program covers film theory, production techniques, scriptwriting, and digital media, preparing students for careers in the entertainment and media industries.","Graduates can work as filmmakers, producers, directors, screenwriters, and multimedia specialists. They can find opportunities in film studios, television networks, digital media companies, and advertising agencies."
BA HISTORY,BAHist,"BA History explores the events, cultures, and movements that have shaped human civilization. The program includes courses in ancient, medieval, modern, and contemporary history, fostering critical thinking and research skills.","Career opportunities include historians, archivists, museum curators, educators, and researchers. Graduates can work in academic institutions, museums, historical societies, government agencies, and cultural organizations."
BA HUMANITIES,BAHum,"BA Humanities offers a broad-based education in various humanistic disciplines such as philosophy, literature, history, and the arts. The program encourages critical thinking, cultural awareness, and a deep understanding of the human experience.","Graduates can pursue careers as educators, writers, cultural analysts, and arts administrators. Opportunities exist in academic institutions, cultural organizations, publishing houses, and media companies."
BA INFORMATION DESIGN,BID,"BA in Information Design (BID) program focuses on the visual communication of complex information through various media formats. Students learn to analyze, organize, and present data in a clear and visually engaging manner to facilitate understanding and decision-making. The curriculum integrates principles of design, data visualization, user experience (UX) design, and information architecture to create effective communication solutions for diverse audiences and contexts.","Graduates of the BID program have a range of career opportunities in the field of information design and visual communication. They can work as information designers, creating data visualizations, infographics, and interactive displays for organizations, media outlets, and digital platforms. Other potential roles include UX/UI designers, content strategists, digital marketers, or design consultants, helping businesses and institutions communicate complex information effectively to their target audiences. Graduates may find employment in design agencies, technology companies, government agencies, healthcare organizations, or research institutions. Additionally, some may choose to freelance or start their own design studios, specializing in information design services for specific industries or sectors."
BA INTERIOR DESIGN,BID,"BA in Interior Design (BID) program focuses on the conceptualization, planning, and execution of interior spaces that are both functional and aesthetically pleasing. Students learn to analyze spatial requirements, select appropriate materials and finishes, and apply design principles to create innovative and sustainable interiors. Through studio projects, workshops, and internships, students develop skills in drafting, rendering, and computer-aided design (CAD), as well as knowledge of building codes and regulations.","Graduates of the BID program have a range of career opportunities in the field of interior design. They can work as interior designers, collaborating with clients to design residential, commercial, or institutional spaces that meet their needs and reflect their style preferences. Other potential roles include space planners, furniture designers, design consultants, and project managers. Graduates may find employment in architectural firms, interior design studios, real estate development companies, or furniture manufacturers. Additionally, some may choose to specialize in areas such as sustainable design, healthcare design, or hospitality design, depending on their interests and career goals."
BA ISLAMIC STUDIES,BAIsS,"BA Islamic Studies focuses on the study of Islamic history, theology, law, and culture. The program covers topics such as Quranic studies, Hadith, Islamic jurisprudence, and contemporary issues in the Muslim world.","Graduates can work as religious scholars, educators, community leaders, and consultants on Islamic affairs. Careers are available in religious institutions, educational settings, government agencies, and international organizations."
BA JOURNALISM,BAJour,"BA Journalism prepares students for careers in news writing, reporting, and media production. The program includes courses in news writing, investigative journalism, media ethics, and multimedia storytelling, providing a comprehensive understanding of the journalism profession.","Graduates can become journalists, editors, news correspondents, and media analysts. They can work in newspapers, magazines, online media platforms, television, and radio stations."
BA LEGAL MANAGEMENT,BALegM,"BA Legal Management combines legal studies with business management principles. The program includes courses in business law, corporate governance, legal ethics, and organizational management, preparing students for careers that intersect law and business.","Graduates can pursue careers as legal managers, corporate compliance officers, paralegals, and business consultants. Opportunities exist in law firms, corporate legal departments, government agencies, and non-profit organizations."
BA LINGUISTICS,BALing,"BA Linguistics studies the structure, development, and use of language. The program covers phonetics, syntax, semantics, sociolinguistics, and language acquisition, equipping students with analytical and research skills.","Career opportunities include language researchers, translators, language teachers, and lexicographers. Graduates can work in academic institutions, research organizations, translation services, and language technology companies."
BA MALIKHAING PAGSULAT SA FILIPINO,BAMPF,"BA in Malikhaing Pagsulat sa Filipino (BAMPF) program focuses on the creative aspects of writing in Filipino. Students develop their skills in various forms of creative writing, such as poetry, fiction, drama, and creative non-fiction, with an emphasis on originality, imagination, and cultural sensitivity.","Graduates can pursue careers as Filipino creative writers, authors, poets, playwrights, or scriptwriters. They may also find opportunities in media, publishing, advertising, or cultural organizations seeking individuals with expertise in Filipino creative writing and storytelling."
BA MASS COMMUNICATION,BAMsCo,"BA Mass Communication provides a comprehensive education in media studies, including journalism, broadcasting, public relations, and advertising. The program prepares students for various roles in the media and communication industries.","Graduates can pursue careers as media professionals, public relations specialists, content creators, and advertising executives. Opportunities exist in television, radio, online media, advertising agencies, and corporate communication departments."
BA MATHEMATICS,BAMath,"BA Mathematics offers an in-depth study of mathematical theories and applications. The program covers areas such as algebra, calculus, statistics, and mathematical modeling, equipping students with strong analytical and problem-solving skills.","Graduates can work as data analysts, actuaries, financial analysts, operations researchers, and educators. Careers are available in finance, insurance, technology, and academic institutions."
BA MULTIMEDIA ARTS,BMMA,"BA in Multimedia Arts (BMMA) program offers a comprehensive exploration of multimedia design, combining visual arts, digital technology, and communication principles. Students develop proficiency in various multimedia platforms, including graphic design, web development, animation, and interactive media. Through project-based learning and creative collaboration, students acquire the skills to conceptualize, design, and produce multimedia content for diverse applications in entertainment, marketing, education, and beyond.","Graduates of the BMMA program are well-equipped for careers in the dynamic field of multimedia arts. They can pursue roles such as multimedia designer, graphic designer, web developer, animator, user experience (UX) designer, or interactive media specialist. In the entertainment industry, they may work in animation studios, game development companies, or film and television production houses. Additionally, graduates can find opportunities in advertising agencies, design studios, digital marketing firms, educational institutions, and tech companies. Some may choose to freelance or start their own multimedia design ventures, leveraging their creativity and technical skills to innovate and engage audiences across various digital platforms."
BA ORGANIZATIONAL COMMUNICATION,BAOrCo,"BA Organizational Communication focuses on the communication processes within organizations. The program includes courses in corporate communication, public relations, organizational behavior, and strategic communication, preparing students for effective communication roles.","Graduates can become corporate communication managers, public relations officers, internal communication specialists, and communication consultants. They can work in businesses, non-profit organizations, government agencies, and communication firms."
BA PHILIPPINE ARTS,BAPhAr,"BA Philippine Arts explores the rich cultural heritage and artistic traditions of the Philippines. The program covers various forms of art, including visual arts, music, dance, and theater, along with courses in cultural studies and art management.","Career opportunities include cultural workers, museum curators, art educators, and arts administrators. Graduates can work in cultural institutions, museums, galleries, educational institutions, and government cultural agencies."
BA PHILOSOPHY,BAPhil,"BA Philosophy engages students in the study of fundamental questions about existence, knowledge, values, reason, and human nature. The program covers various philosophical traditions, critical thinking, ethics, and logic.","Graduates can pursue careers as educators, researchers, writers, ethicists, and critical analysts. Opportunities exist in academic institutions, think tanks, publishing, and various sectors requiring strong analytical and ethical reasoning skills."
BA PILIPINO,BAPil,"BA Pilipino focuses on the study of the Filipino language, literature, and culture. The program covers linguistics, literary analysis, translation, and cultural studies, aiming to preserve and promote the Filipino heritage.","Graduates can become language teachers, translators, writers, cultural workers, and researchers. They can work in educational institutions, government cultural agencies, media organizations, and cultural foundations."
BA POLITICAL SCIENCE,BAPoSc,"BA Political Science delves into the theory and practice of politics and government. The program covers political theories, international relations, public policy, and comparative politics, providing a deep understanding of political systems and processes.","BA Political Science delves into the theory and practice of politics and government. The program covers political theories, international relations, public policy, and comparative politics, providing a deep understanding of political systems and processes."
BA PSYCHOLOGY,BAPsyc,"BA Psychology explores the scientific study of behavior and mental processes. The program includes topics such as cognitive psychology, developmental psychology, clinical psychology, and research methods, equipping students with insights into human behavior.","Career opportunities include clinical psychologists, counselors, human resource specialists, research assistants, and mental health workers. Graduates can work in hospitals, educational institutions, corporate settings, and community organizations."
BA PUBLIC ADMINISTRATION,BAPubA,"BA Public Administration focuses on the principles and practices of public sector management. The program covers public policy, governance, administrative law, and public finance, preparing students for roles in government and non-profit organizations.","Graduates can work as public administrators, policy analysts, program managers, and public affairs specialists. Careers are available in government agencies, non-profit organizations, and international development organizations."
BA PUBLIC RELATION,BAPubR,"BA Public Relations emphasizes the strategies and techniques used to manage communication between organizations and their publics. The program includes courses in media relations, crisis communication, campaign planning, and corporate communication.","Graduates can become public relations specialists, corporate communicators, media relations managers, and communication consultants. They can work in businesses, public relations firms, non-profit organizations, and government agencies."
BA RELIGIOUS STUDIES,BARelS,"BA Religious Studies explores the beliefs, practices, and histories of various religions. The program includes courses in comparative religion, theology, ethics, and religious texts, providing a comprehensive understanding of global religious traditions.","Graduates can work as religious educators, community leaders, interfaith dialogue coordinators, and researchers. Opportunities exist in religious institutions, educational settings, non-profit organizations, and cultural institutions."
BA SOCIAL SCIENCES,BASocS,"BA Social Sciences offers an interdisciplinary approach to studying human society and social relationships. The program covers sociology, anthropology, political science, and psychology, fostering a holistic understanding of social dynamics.","Graduates can pursue careers as social researchers, policy analysts, community developers, and educators. They can work in government agencies, research organizations, non-profits, and educational institutions."
BA SOCIOLOGY,BASoc,"BA Sociology studies the development, structure, and functioning of human society. The program includes courses in social theory, research methods, social stratification, and urban sociology, equipping students with analytical and research skills.","Career opportunities include sociologists, social researchers, policy advisors, community development workers, and social planners. Graduates can work in academic institutions, research firms, government agencies, and non-profit organizations."
BA SPEECH COMMUNICATION,BASpCo,"BA Speech Communication focuses on the art and science of verbal communication. The program covers public speaking, rhetoric, intercultural communication, and communication theory, preparing students for roles that require strong oral communication skills.","Graduates can become speechwriters, public speakers, communication trainers, and corporate communication specialists. They can work in public relations firms, corporate settings, educational institutions, and media organizations."
BA THEATER ARTS,BAThAr,"BA Theater Arts focuses on the study and practice of theater, including acting, directing, stage design, and playwriting. The program provides a comprehensive understanding of theater history, theory, and production techniques.","Graduates can pursue careers as actors, directors, playwrights, stage managers, and theater educators. Opportunities exist in theater companies, film and television, educational institutions, and cultural organizations."
BA THEOLOGY,BATheo,"BA Theology delves into religious beliefs, practices, and the study of sacred texts. The program includes courses in biblical studies, systematic theology, church history, and pastoral care, preparing students for roles in religious leadership and education.","Graduates can become pastors, theologians, religious educators, chaplains, and community outreach coordinators. They may also work in faith-based organizations, academic institutions, and social service agencies."
BA TOURISM,BATour,"BA Tourism focuses on the tourism and hospitality industry, covering topics such as travel management, hospitality services, cultural tourism, and sustainable tourism. The program prepares students for various roles in the tourism sector.","Graduates can work as tourism managers, travel consultants, event coordinators, hotel managers, and tourism marketers. Opportunities are available in travel agencies, hotels, resorts, tourism boards, and event management companies."
BACHELOR OF AGRICULTURAL TECHNOLOGY,BAgT,"Bachelor of Agricultural Technology focuses on the application of technology to agriculture, including crop production, animal husbandry, and agribusiness management. The program includes courses in soil science, plant pathology, agricultural engineering, and farm management.","Graduates can work as agricultural technologists, farm managers, agribusiness consultants, and extension officers. They can find employment in agricultural enterprises, government agencies, research institutions, and non-profit organizations."
BACHELOR OF AGRO-FORESTRY TECHNOLOGY,BAgFT,"Bachelor of Agro-Forestry Technology combines agriculture and forestry to promote sustainable land use. The program includes courses in agroforestry systems, soil conservation, forest management, and sustainable agriculture practices.","Graduates can pursue careers as agroforestry specialists, environmental consultants, forest managers, and conservation officers. Opportunities exist in government agencies, environmental organizations, research institutions, and agricultural enterprises."
BA PSYCHOLOGY,ABPsyc,"Bachelor of Arts in Psychology explores the scientific study of behavior and mental processes. The program includes topics such as cognitive psychology, developmental psychology, clinical psychology, and research methods, equipping students with insights into human behavior.","Career opportunities include clinical psychologists, counselors, human resource specialists, research assistants, and mental health workers. Graduates can work in hospitals, educational institutions, corporate settings, and community organizations."
BA THEOLOGY,ABTheo,"Bachelor of Arts in Theology provides an in-depth study of religious texts, doctrines, and practices within the Christian tradition. The program includes courses in biblical studies, systematic theology, ethics, church history, and pastoral counseling.","Graduates can pursue careers as pastors, theologians, religious educators, chaplains, and ministry leaders. They can work in churches, religious organizations, educational institutions, and non-profit organizations."
BACHELOR OF EARLY CHILDHOOD EDUCATION,BECE,"Bachelor of Early Childhood Education prepares students to teach and nurture young children from birth to age eight. The program covers early childhood pedagogy, child psychology, curriculum design, and educational assessment.","Graduates can work as early childhood teachers, preschool directors, curriculum developers, and educational consultants. They can find employment in preschools, elementary schools, early intervention programs, and educational agencies."
BACHELOR OF EDUCATION IN HUMAN ECOLOGY,BEdHE,"Bachelor of Education in Human Ecology examines the relationships between individuals, families, communities, and their environments. The program includes courses in family studies, nutrition, community development, and environmental sustainability.","Graduates can pursue careers as family educators, community development officers, environmental educators, and public health coordinators. They can work in schools, community organizations, government agencies, and non-profit organizations."
BACHELOR OF ELEMENTARY EDUCATION,BEEd,"Bachelor of Elementary Education prepares students to teach in elementary schools. The program covers educational theory, teaching methods, curriculum development, classroom management, and subject-specific pedagogy.","Graduates can work as elementary school teachers, educational administrators, curriculum developers, and educational consultants. Opportunities are available in public and private schools, educational institutions, and educational policy organizations."
BACHELOR OF FINE ARTS,BFA,"Bachelor of Fine Arts / AB Fine Arts provides comprehensive training in visual and performing arts. The program includes courses in drawing, painting, sculpture, graphic design, art history, and performance art.","Graduates can work as professional artists, art educators, art directors, graphic designers, and museum curators. They can find employment in galleries, museums, schools, design firms, and cultural institutions."
BACHELOR OF FOOD TECHNOLOGY,BFoT,"Bachelor of Food Technology focuses on the science and technology of food production, processing, and safety. The program covers food chemistry, microbiology, nutrition, food processing technology, and quality control.","Graduates can pursue careers as food technologists, quality assurance managers, food safety inspectors, and product development specialists. They can work in food manufacturing companies, research institutions, government agencies, and regulatory bodies."
BACHELOR OF HOME TECHNOLOGY,BHTech,"Bachelor of Home Technology focuses on the application of technology to enhance home environments. The program covers areas such as home automation, energy efficiency, smart home technologies, and interior design principles.","Graduates can work as home technology consultants, interior designers, energy efficiency specialists, and home automation technicians. They can find employment in technology companies, interior design firms, construction companies, and home improvement stores."
BACHELOR OF LAWS,LLB,"LLB (Bachelor of Laws) program is an undergraduate degree in law, providing students with a comprehensive understanding of legal principles, systems, and procedures. It covers various areas of law, including constitutional law, criminal law, contract law, and more. Students engage in rigorous academic study, legal research, and practical training to develop essential legal skills.","Graduates of the LLB program can pursue careers in the legal profession as lawyers, solicitors, or barristers. They may work in law firms, government agencies, corporate legal departments, or as legal consultants. Additionally, LLB graduates may explore opportunities in academia, judiciary services, legal journalism, or policy analysis. The degree also provides a solid foundation for further studies, such as pursuing a Master of Laws (LLM) or other specialized legal qualifications."
BACHELOR OF LIBRARY SCIENCE,BLibSc,"Bachelor of Library Science provides education in library management, information organization, and library services. The program includes courses in library administration, collection development, reference services, and information technology.","Graduates can pursue careers as librarians, library administrators, information specialists, and research librarians. They can work in public libraries, academic libraries, special libraries, and information centers."
BACHELOR OF MASS COMMUNICATION,BMComm,"Bachelor of Mass Communication focuses on the study of media and communication processes. The program includes courses in journalism, broadcasting, public relations, advertising, digital media, and media theory.","Graduates can work as journalists, broadcasters, public relations specialists, advertising executives, and media producers. They can find employment in media organizations, advertising agencies, public relations firms, and corporate communication departments."
BACHELOR OF MUSIC,BM,"Bachelor of Music provides a comprehensive education in music theory, performance, composition, and music history. The program offers specialization in various instruments, voice, composition, conducting, or music education.","Graduates can work as musicians, music educators, composers, conductors, or music therapists. They can find employment in orchestras, bands, schools, universities, recording studios, and community music programs."
BACHELOR OF MUSIC IN PIANO,BMuPia,"Bachelor of Music in Piano offers specialized training in piano performance and repertoire. The program includes intensive study of piano technique, repertoire, music theory, music history, and chamber music.","Graduates can work as piano performers, piano teachers, accompanists, or studio musicians. They can pursue careers as soloists, collaborative pianists, educators, or pursue further studies in graduate programs."
BACHELOR OF PHILISOPHY,BPhilo,"Bachelor of Philosophy engages students in the study of fundamental questions about existence, knowledge, values, reason, and human nature. The program covers various philosophical traditions, critical thinking, ethics, and logic.","Graduates can pursue careers as educators, researchers, writers, ethicists, and critical analysts. Opportunities exist in academic institutions, think tanks, publishing, and various sectors requiring strong analytical and ethical reasoning skills."
BACHELOR OF PHYSICAL EDUCATION,BPhyEd,"Bachelor of Physical Education focuses on the study of physical fitness, sports, and health education. The program includes courses in kinesiology, exercise physiology, sports psychology, teaching methods for physical education, and health promotion.","Graduates can become physical education teachers, sports coaches, fitness instructors, wellness coordinators, and health educators. They can work in schools, sports clubs, fitness centers, community health programs, and corporate wellness programs."
BACHELOR OF RELIGIOUS EDUCATION,BARELI,"Bachelor of Religious Education offers a specialized education in religious studies and education. The program includes courses in theology, religious texts, pedagogy, and methods for teaching religious education.","Graduates can work as religious educators, youth ministers, Sunday school teachers, and community outreach coordinators. They can find employment in churches, religious organizations, educational institutions, and non-profit organizations."
BACHELOR OF SECONDARY EDUCATION,BSEd,"Bachelor of Secondary Education prepares students to teach in secondary schools. The program includes courses in educational theory, teaching methods, curriculum development, subject-specific pedagogy, and classroom management.","Graduates can work as secondary school teachers, educational administrators, curriculum developers, and educational consultants. Opportunities are available in public and private secondary schools, educational institutions, and educational policy organizations."
BACHELOR OF SECRETARIAL ADMINISTRATION,BSecA,"Bachelor of Secretarial Administration provides education in administrative support functions and office management. The program includes courses in business communication, office procedures, computer applications, and secretarial skills.","Graduates can work as administrative assistants, executive secretaries, office managers, and administrative coordinators. They can find employment in corporate offices, government agencies, educational institutions, and non-profit organizations."
BACHELOR OF SPECIAL NEEDS EDUCATION,BSpecE,"Bachelor of Special Education focuses on the education and support of individuals with special needs. The program includes courses in special education theory, assessment, intervention strategies, and inclusion practices.","Graduates can become special education teachers, special needs coordinators, behavior interventionists, and educational therapists. They can work in schools, special education centers, rehabilitation facilities, and community organizations."
BACHELOR OF SPORTS SCIENCE,BSpoSc,"Bachelor of Sports Science provides a scientific understanding of human movement, exercise physiology, and sports performance. The program includes courses in anatomy, biomechanics, exercise physiology, nutrition, and sports psychology.","Graduates can work as sports scientists, exercise physiologists, strength and conditioning coaches, athletic trainers, and sports nutritionists. They can find employment in sports teams, fitness centers, healthcare facilities, and research institutions."
BS ACCOUNTANCY,BSA,"BS Accountancy focuses on the principles and practices of accounting, financial reporting, and auditing. The program prepares students for careers in accounting, finance, and related fields, and may provide preparation for professional certifications such as Certified Public Accountant (CPA).","Graduates can work as accountants, auditors, tax consultants, financial analysts, or financial managers. They can find employment in public accounting firms, corporations, government agencies, and non-profit organizations."
